1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 3400000032B93B21
Is Mission Active?  true
Mission Start:  Mon Aug 26 20:28:00 MDT 2024
Sample Rate:  Every 255 minute(s)
Number of Mission Samples:  1925
Total Samples:  6818
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
8/26/24, 8:28:00 PM,C,26.5
8/27/24, 12:43:00 AM,C,22.5
8/27/24, 4:58:00 AM,C,20.5
8/27/24, 9:13:00 AM,C,14
8/27/24, 1:28:00 PM,C,23.5
8/27/24, 5:43:00 PM,C,24
8/27/24, 9:58:00 PM,C,11.5
8/28/24, 2:13:00 AM,C,9
8/28/24, 6:28:00 AM,C,8
8/28/24, 10:43:00 AM,C,15
8/28/24, 2:58:00 PM,C,23.5
8/28/24, 7:13:00 PM,C,16
8/28/24, 11:28:00 PM,C,12
8/29/24, 3:43:00 AM,C,10
8/29/24, 7:58:00 AM,C,8.5
8/29/24, 12:13:00 PM,C,21.5
8/29/24, 4:28:00 PM,C,18.5
8/29/24, 8:43:00 PM,C,13.5
8/30/24, 12:58:00 AM,C,9.5
8/30/24, 5:13:00 AM,C,7.5
8/30/24, 9:28:00 AM,C,12.5
8/30/24, 1:43:00 PM,C,24.5
8/30/24, 5:58:00 PM,C,21
8/30/24, 10:13:00 PM,C,12
8/31/24, 2:28:00 AM,C,9
8/31/24, 6:43:00 AM,C,7.5
8/31/24, 10:58:00 AM,C,19
8/31/24, 3:13:00 PM,C,27
8/31/24, 7:28:00 PM,C,17.5
8/31/24, 11:43:00 PM,C,11.5
9/1/24, 3:58:00 AM,C,9.5
9/1/24, 8:13:00 AM,C,9.5
9/1/24, 12:28:00 PM,C,23
9/1/24, 4:43:00 PM,C,24.5
9/1/24, 8:58:00 PM,C,13.5
9/2/24, 1:13:00 AM,C,10.5
9/2/24, 5:28:00 AM,C,9
9/2/24, 9:43:00 AM,C,14
9/2/24, 1:58:00 PM,C,18.5
9/2/24, 6:13:00 PM,C,17
9/2/24, 10:28:00 PM,C,10.5
9/3/24, 2:43:00 AM,C,9.5
9/3/24, 6:58:00 AM,C,8.5
9/3/24, 11:13:00 AM,C,19
9/3/24, 3:28:00 PM,C,28.5
9/3/24, 7:43:00 PM,C,17
9/3/24, 11:58:00 PM,C,13
9/4/24, 4:13:00 AM,C,10
9/4/24, 8:28:00 AM,C,11.5
9/4/24, 12:43:00 PM,C,13.5
9/4/24, 4:58:00 PM,C,21
9/4/24, 9:13:00 PM,C,13
9/5/24, 1:28:00 AM,C,7
9/5/24, 5:43:00 AM,C,5
9/5/24, 9:58:00 AM,C,9
9/5/24, 2:13:00 PM,C,10.5
9/5/24, 6:28:00 PM,C,10.5
9/5/24, 10:43:00 PM,C,5.5
9/6/24, 2:58:00 AM,C,3.5
9/6/24, 7:13:00 AM,C,2.5
9/6/24, 11:28:00 AM,C,16.5
9/6/24, 3:43:00 PM,C,22.5
9/6/24, 7:58:00 PM,C,12.5
9/7/24, 12:13:00 AM,C,8
9/7/24, 4:28:00 AM,C,6
9/7/24, 8:43:00 AM,C,8.5
9/7/24, 12:58:00 PM,C,22.5
9/7/24, 5:13:00 PM,C,19
